frame.time_relative,frame.len,frame.protocols,frame.len,ip.version,_ws.col.protocol,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,ip.geoip.dst_country,ip.geoip.dst_city,ip.geoip.src_country,ip.geoip.src_city,tcp.analysis,tcp.len,tcp.port,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val,udp.length,udp.port,icmp.code,icmp.length,icmp.type,icmp.pref_level,icmpv6.code,icmpv6.length,icmpv6.type,dns.flags,dns.flags.recdesired,dns.flags.recavail,dns.flags.authenticated,dns.qry.type,dns.qry.class,dns.resp.type,dns.resp.class,dns.resp.ttl,http.connection,http.content_encoding,http.content_length,http.content_type,http.location,http.request.method,http.request.version,http.request.uri,http.response.version,http.response.code,http.tls_port,http.user_agent,http.www_authenticate,tls.alert_message,tls.ech.cipher_suite,tls.esni.suite,tls.handshake,tls.handshake.type,tls.handshake.version,tls.handshake.ciphersuites,tls.ssl2.handshake.type,tls.ssl2.handshake.cipherspec,sip.auth,sip.auth.algorithm,sip.Geolocation,sip.MIME-Version,sip.Via.transport,sip.Via.ttl,ssh.host_key.type,ssh.host_sig.type,ssh.packet_length,ssh.protocol,dhcp.hops,dhcp.type,dhcpv6.auth.algorithm,dhcpv6.auth.protocol,dhcpv6.hopcount,rdp.action,rdp.bVersion,rdp.bandwidth.headerlen,rdp.bandwidth.reqtype,rdp.bandwidth.resptype,rdp.bandwidth.typeid,rdp.client.address,rdp.connectionType,rdp.domain,rdp.encryptionLevel,rdp.encryptionMethod,rdp.entrySize,rdp.fastpath.eventheader,rdp.header.length,rdp.header.type,rdp.heartbeat.period,rdp.length,rdp.negReq.selectedProtocol,rdp.rdstls.version,rdp.networkcharacteristics.averagertt,rdp.targetUser,rdp.totalLength,rsync.hdr_magic,rsync.hdr_version,sftp.length,sftp.name_count,sftp.packet_length,sftp.packet_type,sftp.status,sftp.version,rtp.block-length,rtp.hdr_ext,rtp.p_type,rtp.version
0.000000000,,raw:ip:tcp:tls,91,4,TLSv1.2,20,,0x9d06,0x02,False,True,False,0,127,6,0x4662,10.106.1.197,10.104.1.158,91,0x00,,,,,1,,3389,3389,52780,1,1,51,20,0x0018,False,False,False,True,True,False,False,63428,0x4b42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000078000,,raw:ip:tcp:tls,83,4,TLSv1.2,20,,0x2a31,0x02,False,True,False,0,127,6,0xb93f,10.104.1.158,10.106.1.197,83,0x00,,,,,1,,52780,52780,3389,1,1,43,20,0x0018,False,False,False,True,True,False,False,1022,0x03c5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.022450000,,raw:ip:tcp:tls,83,4,TLSv1.2,20,,0x2a32,0x02,False,True,False,0,127,6,0xb93e,10.104.1.158,10.106.1.197,83,0x00,,,,,1,,52780,52780,3389,44,52,43,20,0x0018,False,False,False,True,True,False,False,1022,0x7999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.022600000,,raw:ip:tcp,40,4,TCP,20,,0x9d07,0x02,False,True,False,0,127,6,0x4694,10.106.1.197,10.104.1.158,40,0x00,,,,,1,,3389,3389,52780,52,87,0,20,0x0010,False,False,False,False,True,False,False,63342,0x6de8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.126208000,,raw:ip:tcp:tls,90,4,TLSv1.2,20,,0x2a33,0x02,False,True,False,0,127,6,0xb936,10.104.1.158,10.106.1.197,90,0x00,,,,,1,,52780,52780,3389,87,52,50,20,0x0018,False,False,False,True,True,False,False,1022,0xa1ae,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.171640000,,raw:ip:tcp,40,4,TCP,20,,0x9d08,0x02,False,True,False,0,127,6,0x4693,10.106.1.197,10.104.1.158,40,0x00,,,,,1,,3389,3389,52780,52,137,0,20,0x0010,False,False,False,False,True,False,False,63292,0x6de8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.236138000,,raw:ip:tcp:tls,104,4,TLSv1.2,20,,0x2a34,0x02,False,True,False,0,127,6,0xb927,10.104.1.158,10.106.1.197,104,0x00,,,,,1,,52780,52780,3389,137,52,64,20,0x0018,False,False,False,True,True,False,False,1022,0x182f,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.281007000,,raw:ip:tcp,40,4,TCP,20,,0x9d09,0x02,False,True,False,0,127,6,0x4692,10.106.1.197,10.104.1.158,40,0x00,,,,,1,,3389,3389,52780,52,201,0,20,0x0010,False,False,False,False,True,False,False,63228,0x6de8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.346767000,,raw:ip:tcp:tls,97,4,TLSv1.2,20,,0x2a35,0x02,False,True,False,0,127,6,0xb92d,10.104.1.158,10.106.1.197,97,0x00,,,,,1,,52780,52780,3389,201,52,57,20,0x0018,False,False,False,True,True,False,False,1022,0xceab,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.390389000,,raw:ip:tcp,40,4,TCP,20,,0x9d0a,0x02,False,True,False,0,127,6,0x4691,10.106.1.197,10.104.1.158,40,0x00,,,,,1,,3389,3389,52780,52,258,0,20,0x0010,False,False,False,False,True,False,False,63171,0x6de8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
