frame.time_relative,frame.len,frame.protocols,frame.len,ip.version,_ws.col.protocol,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,ip.geoip.dst_country,ip.geoip.dst_city,ip.geoip.src_country,ip.geoip.src_city,tcp.analysis,tcp.len,tcp.port,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val,udp.length,udp.port,icmp.code,icmp.length,icmp.type,icmp.pref_level,icmpv6.code,icmpv6.length,icmpv6.type,dns.flags,dns.flags.recdesired,dns.flags.recavail,dns.flags.authenticated,dns.qry.type,dns.qry.class,dns.resp.type,dns.resp.class,dns.resp.ttl,http.connection,http.content_encoding,http.content_length,http.content_type,http.location,http.request.method,http.request.version,http.request.uri,http.response.version,http.response.code,http.tls_port,http.user_agent,http.www_authenticate,tls.alert_message,tls.ech.cipher_suite,tls.esni.suite,tls.handshake,tls.handshake.type,tls.handshake.version,tls.handshake.ciphersuites,tls.ssl2.handshake.type,tls.ssl2.handshake.cipherspec,sip.auth,sip.auth.algorithm,sip.Geolocation,sip.MIME-Version,sip.Via.transport,sip.Via.ttl,ssh.host_key.type,ssh.host_sig.type,ssh.packet_length,ssh.protocol,dhcp.hops,dhcp.type,dhcpv6.auth.algorithm,dhcpv6.auth.protocol,dhcpv6.hopcount,rdp.action,rdp.bVersion,rdp.bandwidth.headerlen,rdp.bandwidth.reqtype,rdp.bandwidth.resptype,rdp.bandwidth.typeid,rdp.client.address,rdp.connectionType,rdp.domain,rdp.encryptionLevel,rdp.encryptionMethod,rdp.entrySize,rdp.fastpath.eventheader,rdp.header.length,rdp.header.type,rdp.heartbeat.period,rdp.length,rdp.negReq.selectedProtocol,rdp.rdstls.version,rdp.networkcharacteristics.averagertt,rdp.targetUser,rdp.totalLength,rsync.hdr_magic,rsync.hdr_version,sftp.length,sftp.name_count,sftp.packet_length,sftp.packet_type,sftp.status,sftp.version,rtp.block-length,rtp.hdr_ext,rtp.p_type,rtp.version
0.000000000,,eth:ethertype:ipv6:ipv6.hopopts:icmpv6,90,6,ICMPv6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.662995000,,eth:ethertype:ipv6:ipv6.hopopts:icmpv6,90,6,ICMPv6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.008456000,,eth:ethertype:ipv6:icmpv6,62,6,ICMPv6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.016013000,,eth:ethertype:ip:udp:dhcp,342,4,DHCP,20,,0x0000,0x00,False,False,False,0,128,17,0x3996,0.0.0.0,255.255.255.255,328,0x10,,,,,,,,,,,,,,,,,,,,,,,,,,308,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.299328000,,eth:ethertype:ip:udp:dhcp,384,4,DHCP,20,,0x7151,0x00,False,False,False,0,64,17,0xf007,10.115.1.2,10.115.1.123,370,0xc0,,,,,,,,,,,,,,,,,,,,,,,,,,350,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.586983000,,eth:ethertype:ipv6:icmpv6,62,6,ICMPv6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.518695000,,eth:ethertype:ip:udp:dns,89,4,DNS,20,,0x8039,0x02,False,True,False,0,64,17,0xa306,10.115.1.123,10.115.1.2,75,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,55,41333,,,,,,,,0x0100,True,,,1,0x0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.518732000,,eth:ethertype:ip:udp:dns,89,4,DNS,20,,0x803a,0x02,False,True,False,0,64,17,0xa305,10.115.1.123,10.115.1.2,75,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,55,41333,,,,,,,,0x0100,True,,,28,0x0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.519445000,,eth:ethertype:ip:udp:dns,105,4,DNS,20,,0x896b,0x02,False,True,False,0,64,17,0x99c4,10.115.1.2,10.115.1.123,91,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,71,53,,,,,,,,0x8580,True,True,False,1,0x0001,1,0x0001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.519479000,,eth:ethertype:ip:udp:dns,89,4,DNS,20,,0x896c,0x02,False,True,False,0,64,17,0x99d3,10.115.1.2,10.115.1.123,75,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,55,53,,,,,,,,0x8180,True,True,False,28,0x0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.562130000,,eth:ethertype:ip:udp:dns,89,4,DNS,20,,0x8051,0x02,False,True,False,0,64,17,0xa2ee,10.115.1.123,10.115.1.2,75,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,55,49896,,,,,,,,0x0100,True,,,1,0x0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.562176000,,eth:ethertype:ip:udp:dns,89,4,DNS,20,,0x8052,0x02,False,True,False,0,64,17,0xa2ed,10.115.1.123,10.115.1.2,75,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,55,49896,,,,,,,,0x0100,True,,,28,0x0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.562610000,,eth:ethertype:ip:udp:dns,105,4,DNS,20,,0x897b,0x02,False,True,False,0,64,17,0x99b4,10.115.1.2,10.115.1.123,91,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,71,53,,,,,,,,0x8580,True,True,False,1,0x0001,1,0x0001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.562648000,,eth:ethertype:ip:udp:dns,89,4,DNS,20,,0x897c,0x02,False,True,False,0,64,17,0x99c3,10.115.1.2,10.115.1.123,75,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,55,53,,,,,,,,0x8180,True,True,False,28,0x0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.563005000,,eth:ethertype:ip:udp:dns,89,4,DNS,20,,0x8053,0x02,False,True,False,0,64,17,0xa2ec,10.115.1.123,10.115.1.2,75,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,55,52336,,,,,,,,0x0100,True,,,1,0x0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.563037000,,eth:ethertype:ip:udp:dns,89,4,DNS,20,,0x8054,0x02,False,True,False,0,64,17,0xa2eb,10.115.1.123,10.115.1.2,75,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,55,52336,,,,,,,,0x0100,True,,,28,0x0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.563416000,,eth:ethertype:ip:udp:dns,105,4,DNS,20,,0x897d,0x02,False,True,False,0,64,17,0x99b2,10.115.1.2,10.115.1.123,91,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,71,53,,,,,,,,0x8580,True,True,False,1,0x0001,1,0x0001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.563479000,,eth:ethertype:ip:udp:dns,89,4,DNS,20,,0x897e,0x02,False,True,False,0,64,17,0x99c1,10.115.1.2,10.115.1.123,75,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,55,53,,,,,,,,0x8180,True,True,False,28,0x0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.566333000,,eth:ethertype:ip:udp:dns,89,4,DNS,20,,0x8057,0x02,False,True,False,0,64,17,0xa2e8,10.115.1.123,10.115.1.2,75,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,55,58673,,,,,,,,0x0100,True,,,1,0x0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.566377000,,eth:ethertype:ip:udp:dns,89,4,DNS,20,,0x8058,0x02,False,True,False,0,64,17,0xa2e7,10.115.1.123,10.115.1.2,75,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,55,58673,,,,,,,,0x0100,True,,,28,0x0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
