frame.time_relative,frame.protocols,ip.version,_ws.col.protocol,ip.hdr_len,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ipv6.src,ipv6.dst,tcp.analysis,tcp.port,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,icmpv6.code,icmpv6.type,udp.length,udp.port,icmp.code,icmp.type,dns.flags,dns.flags.recdesired,dns.flags.recavail,dns.flags.authenticated,dns.qry.type,dns.qry.class,dns.resp.type,dns.resp.class,dns.resp.ttl,http.connection,http.request.method,http.request.version,http.request.uri,http.response.version,http.response.code,http.user_agent,tls.handshake,tls.handshake.type,tls.handshake.version,tls.handshake.ciphersuites,ssh.host_key.type,ssh.host_sig.type,ssh.packet_length,ssh.protocol,dhcp.hops,dhcp.type,rdp.negReq.selectedProtocol,data,encrypted
0.0,eth:ethertype:ip:udp:data,4.0,UDP,20.0,0xca6a,0x02,False,True,False,57.0,17.0,0x4e0a,66.22.243.52,192.168.50.160,229.0,,,,,,,,,,,,,,,,,,,,,,209.0,50023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906f7130d829475c00002466bede000110909002174f05e5c683b38783a117563f94a5204edb1272c088e8e0570395018df68fe0aa7465034848228d6adfcf21b8ed72acae3b2f722961377b198e9866c0f08eec4c1ee9dc53c41f11b69c0eca66f4ab1d8147d47b46871ca4e96682d590f72200c82e91d1193f51ea5f57086a2cde076ead9aa3df2108fca319572775b896f5e217bae3f4deb3b19f7192327144344c7ed965d44364b196ab84fedc115deb97ef6703989d2d5899929b5d999f3baf0f5339c44502df,0
0.0,eth:ethertype:ip:udp:data,4.0,UDP,20.0,0x6993,0x02,False,True,False,56.0,17.0,0xad93,66.22.243.9,192.168.50.160,862.0,,,,,,,,,,,,,,,,,,,,,,842.0,50006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90e6f30d6dd4c9280000354abede00032294dfc1e2000ca8318d9e003b3d722c59bd592607ca05ee81041457ff8fca2dd5b0875a1b8a525a673370dd931f4608abdc82ef46975fe23f1c04c1d45a62a456063e63e068e27168e8bfe77055803073b4de7be05e07f70efe44650f90581e1e2f04efbd9d13bdc28d079985218d046022d4a3491685d9df30b2a91fbf007ab8cbd4e4b2a9d4a8dea25d79705bd9f69c0bf1cfc4d21ae548c45ac1375d1da2d95eb837766efcec1b5c0c6fecb89d83dddbf677ad4d5b27e156fae1a16bce0cb970dd7129f28b03cc91dbfbcdd31eb1619d6515dd0d8d3e9f42a68657fbb1b3e7ca3a6e73eadf689fe55ee001f6b81fa547fe0e9d0bdd914911e6c1d1cf0e702ec7b39df24d04d60fe317c0773668915c66b23c3914d8ffaa4d81a28ea5d678e9d6d70516bb2b0ff4e6378b1717fef35b9ce75af63268b244f9934d0adeefb92e0092fd526093293974163d6a6cb81420e86c7b5bde146c39d533e24e9a2374c0a8fce9c9b62e26228088b5239269882f7d470fd765535f6ea5160e9538fef7763032d10ccfc8c9000a24b5ba84761f47b3b646b73e9af7a406bca2ad3d5653c1dc97e809a2c58bff24e4e298277c3192eccd3ededb29b47c22dc4a1e4beffa901e17f8f65059db6daedd3cf0c376b8c05d021f21cf07e84caf5b7323528050cbe25872194eceb76356f573ff72bdb7110ea95cff8c69e98b8d795df2389f2693581cfb11b4b79816a8c9a4bba963bfc620f8020ed1c28768e5b173be943a95e107cb9cb5b824a0f9d6fdb9c157dc5cf9a1f2b3932164e1d13a141a71597e4ba09a1eeadaf11b0c03bf76b2f9e397f5d7a42bff4f75d3d87308faffdc2e2605b1dcae884bf247fabbaeae10216304722f0a54dd6a00465a0889b6861abb89551138f57d49db2a723c4f8f6257339648822ceefc8bfa9a699db376c72b2994dae32aa531b15a96bdcbee7a4aad45da5c406151a68a199043a01d654359233fbf048e6d04bf6533f1841f4a13b766a4bf993678ab7221dfc5fd9a329818530fec92e75ec21769178ec5202e1f4aa9998a943ca7e3153caf88a88024b4e7eaf63fa51f2137879fb8150198e6fe73548cc837f5ba69242c4fa5ec97117ef258caf1ff98b33eb3b7ee5172dd6a99ae2c1fab216c,0
0.002499,eth:ethertype:ip:udp:data,4.0,UDP,20.0,0x6994,0x02,False,True,False,56.0,17.0,0xb054,66.22.243.9,192.168.50.160,156.0,,,,,,,,,,,,,,,,,,,,,,136.0,50006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906f45b42cd4702700003549bede000110e190042ed5ad4ce0900108f942f2b4d31a8cb04d37e34712c5d464f29fe3ef995d5df4aa36212f08c8e65d8de71e342ea5544e8551b7ceed503a322568e4a721da9ecfa3e81ad89256f33b4c2ab57af9308d9c2b991f08193bdf24a2fdf3f85902025eff515d3d0680a61ff4da5ccb,0
0.00969,eth:ethertype:ip:udp:data,4.0,UDP,20.0,0x6995,0x02,False,True,False,56.0,17.0,0xb051,66.22.243.9,192.168.50.160,158.0,,,,,,,,,,,,,,,,,,,,,,138.0,50006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906f45b52cd473e700003549bede000110e090041297f6111df84d4ffc4963ef9e4f75b48d75480333e010f9882a313407a05ab73fd0232d07fced9cbde193aef97ef4eb96569f99e2f5dc1e49dccd8613362735b8d80019b0c4d454f4730227439e143994b2692ce9769c174fac0ab464e0da1a9b9ea23ad9974b4f638ba5648383,0
0.010017,eth:ethertype:ip:udp:data,4.0,UDP,20.0,0xd76c,0x00,False,False,False,128.0,17.0,0x3ace,192.168.50.160,66.22.243.9,74.0,,,,,,,,,,,,,,,,,,,,,,54.0,63851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81c90007000000015231a60442bffbba0d6ca24bf4bcb42a767b3804932bf2c580002d6966f16642f7334e63ca39,0
0.010099,eth:ethertype:ip:udp:data,4.0,UDP,20.0,0xd76d,0x00,False,False,False,128.0,17.0,0x3ad5,192.168.50.160,66.22.243.9,66.0,,,,,,,,,,,,,,,,,,,,,,46.0,63851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,afcd0005000000012114e26c7e852d17365a20b796a1c95b80002d6ab9df7b0d6ead9d40196a,0
0.022762,eth:ethertype:ip:udp:data,4.0,UDP,20.0,0xca6d,0x02,False,True,False,57.0,17.0,0x4e09,66.22.243.52,192.168.50.160,227.0,,,,,,,,,,,,,,,,,,,,,,207.0,50023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906f7131d8294b1c00002466bede000110919002bb277563dfd3922ba5a4a7615b8aeef4715cf69b8067a1323c32f005456ade0fa85b4218c453da91fdfccc8c28589f4384690592e9221ec86a972eb3bc10c7348968128bbe6194efc24156fe5970d61eca9f91923ee5070ee17cead46675d0be1bc93dc35ba8a0c80a4a8dd48ddb3df13e433d23e09adaf113937f62c6ad7c4d702b5cc6c3d1029893258322fd502931672837f585e1da51521716d158393b4d15acf79b9e7fb9a5c89caa5620d5162a066796,0
0.022762,eth:ethertype:ip:udp:data,4.0,UDP,20.0,0x6996,0x02,False,True,False,56.0,17.0,0xad8d,66.22.243.9,192.168.50.160,865.0,,,,,,,,,,,,,,,,,,,,,,845.0,50006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90e6f30e6dd4d51c0000354abede00032294f691e2000b9a318d9f0055a6abfb8db3c0cf1f33d331917af78ee1e9eb1c0623592439a4125d5c06a5c6e47bc65b5b411a27b519fccc187132229d2ae33f701ec377fe4fdc2a798ef167ff0ec8be241b4652529a818ea5d2071fc485821d6b815853b354c8fe8f70ba4869e7bb3269dc7b75511d1f215ff76dcbf674d31725f869d47d7d09650de36dac70f6e5e841215b0daf52f5216df7ca4ae4adc5f74365c6c7cd8097d42477e599a13bee65d6885d70b43b2ff49e54b6c608ec70c673a5033edb1667f2db067beecea3549c023ff9023a1ca4de655ecca2be6878083e630059168bcaac332804a0f414beec7358c5fa9dfa0a2c5028321cf1f85c8bfbee3b7f6269bb4695f935821ac91bae9303d670cde7e9c1796c6c014f988aeed5bd2b881909337dc78fff5f7015e7d7d9df138ea18a2abf1cf19238785738cf3ad6a76abe1ac818abe486ea51f8f9d9f88177a817eea92834629e9f8820f7234b5e79c8159b69882bbcd30ba04b4ad5bcffbb4f3d4363cb1a2a4dfd20e2bfa58154a5980a61a9b1b6d10c032d8b3408804df15fd03a8be713fdbe54cfb276bec4d064771765a2a63ff3b0abfaab7cb458efd0a1f805e156da2f1aa7bedd38f62d1669ca8a0f26cc3b4e20dea9b04b95b805c1bfe0850881cacd183f2c202c873ddea6eee3cd09260f46b0a36130dbe24a56b3b8db5b7f634496060eecfcddca41eef21002ac20f9b3b8ae62f4ce2edf7ee4d5285ac4ee22bc88ef190f52d0633ec30e0640692cb2c8ea150a56e8f7ae1fbb0c4eab9b06a4d71230365b5758a91e9cdaa3eac82c6e8771f8b6d8cdb16560b4a8c8e8343828757d12f97d0bca314ae1cb63de2697b423b89094da674674d962e3b55b8e25e3e15932151a1d5fcbd68d81547c4d680a0b197330f9c6de30b9c783e9a313a342fdb3bec8b57aa6d0becbc0305d245a6ef51f2b2c3efde5840c328eeb4d29cccba4b2a101e8e5555f0f5da353494a358f60707dc1c71dbd516a9235b7b0d6ba1ecd47cc42e7ddfd1fe83495827721776442b477dcc8246a3fdb5adb79bb5b52c735783ccee9686777c58adc3e3453f84c6994177d60c7daef75d60c644711fe58c535d2636f40334d7637695487f092854bb86552342a9cdd95c1fc46a9,1
0.036582,eth:ethertype:ip:udp:data,4.0,UDP,20.0,0xca6e,0x02,False,True,False,57.0,17.0,0x4ea1,66.22.243.52,192.168.50.160,74.0,,,,,,,,,,,,,,,,,,,,,,54.0,50023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81c9000700001b2e99d15c822f6986e0e7009a14b97e2931cf8e495ae178ff6480003ecce6da50bd1c6d8e6a27ba,0
0.040898,eth:ethertype:ip:udp:data,4.0,UDP,20.0,0xca6f,0x02,False,True,False,57.0,17.0,0x4dff,66.22.243.52,192.168.50.160,235.0,,,,,,,,,,,,,,,,,,,,,,215.0,50023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906f7132d8294edc00002466bede000110919002f937bc048a2182fe8d25e94d7628ead8d3e52c8e57b23b59f90eddd19075b72aa8f5eff1ddb72d7be53af3f0369f0f5d288f315665396faabc65c547a86f09073f762e5294cfb4ab2cf5bcd491ad70f784ddf2abdedebf28fd5ad4ca5823ce42eece900fcfecc101574666b3ca3ad76fd556f14139874a2cdd9a83240367d8b8dd5044671c3701c9ac8919e4d89bc2fa22bf592367bc699c1b9395c741272fce1dabadf78f17109c7712266ce3658780d787377f91e0dfd8dfa7ea,0
