frame.time_relative,frame.len,frame.protocols,frame.len,ip.version,_ws.col.protocol,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,ip.geoip.dst_country,ip.geoip.dst_city,ip.geoip.src_country,ip.geoip.src_city,tcp.analysis,tcp.len,tcp.port,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val,udp.length,udp.port,icmp.code,icmp.length,icmp.type,icmp.pref_level,icmpv6.code,icmpv6.length,icmpv6.type,dns.flags,dns.flags.recdesired,dns.flags.recavail,dns.flags.authenticated,dns.qry.type,dns.qry.class,dns.resp.type,dns.resp.class,dns.resp.ttl,http.connection,http.content_encoding,http.content_length,http.content_type,http.location,http.request.method,http.request.version,http.request.uri,http.response.version,http.response.code,http.tls_port,http.user_agent,http.www_authenticate,tls.alert_message,tls.ech.cipher_suite,tls.esni.suite,tls.handshake,tls.handshake.type,tls.handshake.version,tls.handshake.ciphersuites,tls.ssl2.handshake.type,tls.ssl2.handshake.cipherspec,sip.auth,sip.auth.algorithm,sip.Geolocation,sip.MIME-Version,sip.Via.transport,sip.Via.ttl,ssh.host_key.type,ssh.host_sig.type,ssh.packet_length,ssh.protocol,dhcp.hops,dhcp.type,dhcpv6.auth.algorithm,dhcpv6.auth.protocol,dhcpv6.hopcount,rdp.action,rdp.bVersion,rdp.bandwidth.headerlen,rdp.bandwidth.reqtype,rdp.bandwidth.resptype,rdp.bandwidth.typeid,rdp.client.address,rdp.connectionType,rdp.domain,rdp.encryptionLevel,rdp.encryptionMethod,rdp.entrySize,rdp.fastpath.eventheader,rdp.header.length,rdp.header.type,rdp.heartbeat.period,rdp.length,rdp.negReq.selectedProtocol,rdp.rdstls.version,rdp.networkcharacteristics.averagertt,rdp.targetUser,rdp.totalLength,rsync.hdr_magic,rsync.hdr_version,sftp.length,sftp.name_count,sftp.packet_length,sftp.packet_type,sftp.status,sftp.version,rtp.block-length,rtp.hdr_ext,rtp.p_type,rtp.version
0.000000000,,eth:ethertype:ip:udp:data,122,4,UDP,20,,0xa850,0x02,False,True,False,0,64,17,0x7b4a,10.114.1.2,10.114.1.1,108,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,88,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.087260000,,eth:ethertype:ip:udp:data,122,4,UDP,20,,0x2cb9,0x02,False,True,False,0,64,17,0xf6e1,10.114.1.1,10.114.1.2,108,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,88,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.722817000,,eth:ethertype:ip:udp:data,186,4,UDP,20,,0xa919,0x02,False,True,False,0,64,17,0x7a41,10.114.1.2,10.114.1.1,172,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,152,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.722843000,,eth:ethertype:ip:udp:data,186,4,UDP,20,,0xa91a,0x02,False,True,False,0,64,17,0x7a40,10.114.1.2,10.114.1.1,172,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,152,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.723532000,,eth:ethertype:ip:udp:data,202,4,UDP,20,,0x2d09,0x02,False,True,False,0,64,17,0xf641,10.114.1.1,10.114.1.2,188,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,168,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.723561000,,eth:ethertype:ip:udp:data,186,4,UDP,20,,0x2d0a,0x02,False,True,False,0,64,17,0xf650,10.114.1.1,10.114.1.2,172,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,152,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.724223000,,eth:ethertype:ip:udp:data,170,4,UDP,20,,0xa91b,0x02,False,True,False,0,64,17,0x7a4f,10.114.1.2,10.114.1.1,156,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,136,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.724615000,,eth:ethertype:ip:udp:data,170,4,UDP,20,,0x2d0b,0x02,False,True,False,0,64,17,0xf65f,10.114.1.1,10.114.1.2,156,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,136,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.724890000,,eth:ethertype:ip:udp:data,154,4,UDP,20,,0xa91c,0x02,False,True,False,0,64,17,0x7a5e,10.114.1.2,10.114.1.1,140,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,120,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.725291000,,eth:ethertype:ip:udp:data,186,4,UDP,20,,0xa91d,0x02,False,True,False,0,64,17,0x7a3d,10.114.1.2,10.114.1.1,172,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,152,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
