frame.time_relative,frame.len,frame.protocols,frame.len,ip.version,_ws.col.protocol,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,ip.geoip.dst_country,ip.geoip.dst_city,ip.geoip.src_country,ip.geoip.src_city,tcp.analysis,tcp.len,tcp.port,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val,udp.length,udp.port,icmp.code,icmp.length,icmp.type,icmp.pref_level,icmpv6.code,icmpv6.length,icmpv6.type,dns.flags,dns.flags.recdesired,dns.flags.recavail,dns.flags.authenticated,dns.qry.type,dns.qry.class,dns.resp.type,dns.resp.class,dns.resp.ttl,http.connection,http.content_encoding,http.content_length,http.content_type,http.location,http.request.method,http.request.version,http.request.uri,http.response.version,http.response.code,http.tls_port,http.user_agent,http.www_authenticate,tls.alert_message,tls.ech.cipher_suite,tls.esni.suite,tls.handshake,tls.handshake.type,tls.handshake.version,tls.handshake.ciphersuites,tls.ssl2.handshake.type,tls.ssl2.handshake.cipherspec,sip.auth,sip.auth.algorithm,sip.Geolocation,sip.MIME-Version,sip.Via.transport,sip.Via.ttl,ssh.host_key.type,ssh.host_sig.type,ssh.packet_length,ssh.protocol,dhcp.hops,dhcp.type,dhcpv6.auth.algorithm,dhcpv6.auth.protocol,dhcpv6.hopcount,rdp.action,rdp.bVersion,rdp.bandwidth.headerlen,rdp.bandwidth.reqtype,rdp.bandwidth.resptype,rdp.bandwidth.typeid,rdp.client.address,rdp.connectionType,rdp.domain,rdp.encryptionLevel,rdp.encryptionMethod,rdp.entrySize,rdp.fastpath.eventheader,rdp.header.length,rdp.header.type,rdp.heartbeat.period,rdp.length,rdp.negReq.selectedProtocol,rdp.rdstls.version,rdp.networkcharacteristics.averagertt,rdp.targetUser,rdp.totalLength,rsync.hdr_magic,rsync.hdr_version,sftp.length,sftp.name_count,sftp.packet_length,sftp.packet_type,sftp.status,sftp.version,rtp.block-length,rtp.hdr_ext,rtp.p_type,rtp.version
0.000000000,,eth:ethertype:ip:udp:data,170,4,UDP,20,,0xae6d,0x02,False,True,False,0,64,17,0x7515,10.102.1.2,10.102.1.1,156,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,136,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000464000,,eth:ethertype:ip:udp:data,170,4,UDP,20,,0x9610,0x02,False,True,False,0,64,17,0x8d72,10.102.1.1,10.102.1.2,156,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,136,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000872000,,eth:ethertype:ip:udp:data,154,4,UDP,20,,0xae6e,0x02,False,True,False,0,64,17,0x7524,10.102.1.2,10.102.1.1,140,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,120,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.001551000,,eth:ethertype:ip:udp:data,186,4,UDP,20,,0xae6f,0x02,False,True,False,0,64,17,0x7503,10.102.1.2,10.102.1.1,172,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,152,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.001673000,,eth:ethertype:ip:udp:data,154,4,UDP,20,,0x9611,0x02,False,True,False,0,64,17,0x8d81,10.102.1.1,10.102.1.2,140,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,120,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.017116000,,eth:ethertype:ip:udp:data,186,4,UDP,20,,0x9615,0x02,False,True,False,0,64,17,0x8d5d,10.102.1.1,10.102.1.2,172,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,152,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.017486000,,eth:ethertype:ip:udp:data,154,4,UDP,20,,0xae72,0x02,False,True,False,0,64,17,0x7520,10.102.1.2,10.102.1.1,140,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,120,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.018135000,,eth:ethertype:ip:udp:data,1482,4,UDP,20,,0xae73,0x02,False,True,False,0,64,17,0x6fef,10.102.1.2,10.102.1.1,1468,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,1448,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.018148000,,eth:ethertype:ip:udp:data,330,4,UDP,20,,0xae74,0x02,False,True,False,0,64,17,0x746e,10.102.1.2,10.102.1.1,316,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,296,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.018295000,,eth:ethertype:ip:udp:data,154,4,UDP,20,,0x9616,0x02,False,True,False,0,64,17,0x8d7c,10.102.1.1,10.102.1.2,140,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,120,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.019959000,,eth:ethertype:ip:udp:data,1434,4,UDP,20,,0x9617,0x02,False,True,False,0,64,17,0x887b,10.102.1.1,10.102.1.2,1420,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.022983000,,eth:ethertype:ip:udp:data,202,4,UDP,20,,0xae76,0x02,False,True,False,0,64,17,0x74ec,10.102.1.2,10.102.1.1,188,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,168,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.028961000,,eth:ethertype:ip:udp:data,522,4,UDP,20,,0x9619,0x02,False,True,False,0,64,17,0x8c09,10.102.1.1,10.102.1.2,508,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,488,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.032584000,,eth:ethertype:ip:udp:data,170,4,UDP,20,,0xae78,0x02,False,True,False,0,64,17,0x750a,10.102.1.2,10.102.1.1,156,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,136,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.072609000,,eth:ethertype:ip:udp:data,154,4,UDP,20,,0x961c,0x02,False,True,False,0,64,17,0x8d76,10.102.1.1,10.102.1.2,140,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,120,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.073006000,,eth:ethertype:ip:udp:data,202,4,UDP,20,,0xae81,0x02,False,True,False,0,64,17,0x74e1,10.102.1.2,10.102.1.1,188,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,168,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.073134000,,eth:ethertype:ip:udp:data,154,4,UDP,20,,0x961d,0x02,False,True,False,0,64,17,0x8d75,10.102.1.1,10.102.1.2,140,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,120,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.073187000,,eth:ethertype:ip:udp:data,202,4,UDP,20,,0x961e,0x02,False,True,False,0,64,17,0x8d44,10.102.1.1,10.102.1.2,188,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,168,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.073477000,,eth:ethertype:ip:udp:data,218,4,UDP,20,,0xae82,0x02,False,True,False,0,64,17,0x74d0,10.102.1.2,10.102.1.1,204,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,184,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.075224000,,eth:ethertype:ip:udp:data,170,4,UDP,20,,0x961f,0x02,False,True,False,0,64,17,0x8d63,10.102.1.1,10.102.1.2,156,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,136,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.076290000,,eth:ethertype:ip:udp:data,218,4,UDP,20,,0xae83,0x02,False,True,False,0,64,17,0x74cf,10.102.1.2,10.102.1.1,204,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,184,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.076982000,,eth:ethertype:ip:udp:data,186,4,UDP,20,,0x9620,0x02,False,True,False,0,64,17,0x8d52,10.102.1.1,10.102.1.2,172,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,152,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.077294000,,eth:ethertype:ip:udp:data,202,4,UDP,20,,0xae84,0x02,False,True,False,0,64,17,0x74de,10.102.1.2,10.102.1.1,188,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,168,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.078112000,,eth:ethertype:ip:udp:data,250,4,UDP,20,,0x9621,0x02,False,True,False,0,64,17,0x8d11,10.102.1.1,10.102.1.2,236,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,216,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.080730000,,eth:ethertype:ip:udp:data,538,4,UDP,20,,0xae85,0x02,False,True,False,0,64,17,0x738d,10.102.1.2,10.102.1.1,524,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,504,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.082112000,,eth:ethertype:ip:udp:data,490,4,UDP,20,,0x9622,0x02,False,True,False,0,64,17,0x8c20,10.102.1.1,10.102.1.2,476,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,456,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.084502000,,eth:ethertype:ip:udp:data,810,4,UDP,20,,0xae86,0x02,False,True,False,0,64,17,0x727c,10.102.1.2,10.102.1.1,796,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,776,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.090038000,,eth:ethertype:ip:udp:data,186,4,UDP,20,,0x9623,0x02,False,True,False,0,64,17,0x8d4f,10.102.1.1,10.102.1.2,172,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,152,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.090135000,,eth:ethertype:ip:udp:data,186,4,UDP,20,,0x9624,0x02,False,True,False,0,64,17,0x8d4e,10.102.1.1,10.102.1.2,172,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,152,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.090456000,,eth:ethertype:ip:udp:data,202,4,UDP,20,,0xae87,0x02,False,True,False,0,64,17,0x74db,10.102.1.2,10.102.1.1,188,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,168,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.090515000,,eth:ethertype:ip:udp:data,186,4,UDP,20,,0xae88,0x02,False,True,False,0,64,17,0x74ea,10.102.1.2,10.102.1.1,172,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,152,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.090893000,,eth:ethertype:ip:udp:data,186,4,UDP,20,,0x9625,0x02,False,True,False,0,64,17,0x8d4d,10.102.1.1,10.102.1.2,172,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,152,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.091311000,,eth:ethertype:ip:udp:data,266,4,UDP,20,,0xae89,0x02,False,True,False,0,64,17,0x7499,10.102.1.2,10.102.1.1,252,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,232,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.094154000,,eth:ethertype:ip:udp:data,186,4,UDP,20,,0x9626,0x02,False,True,False,0,64,17,0x8d4c,10.102.1.1,10.102.1.2,172,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,152,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.094240000,,eth:ethertype:ip:udp:data,186,4,UDP,20,,0x9627,0x02,False,True,False,0,64,17,0x8d4b,10.102.1.1,10.102.1.2,172,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,152,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.094532000,,eth:ethertype:ip:udp:data,202,4,UDP,20,,0xae8a,0x02,False,True,False,0,64,17,0x74d8,10.102.1.2,10.102.1.1,188,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,168,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.094587000,,eth:ethertype:ip:udp:data,186,4,UDP,20,,0xae8b,0x02,False,True,False,0,64,17,0x74e7,10.102.1.2,10.102.1.1,172,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,152,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.131600000,,eth:ethertype:ip:udp:data,154,4,UDP,20,,0x962c,0x02,False,True,False,0,64,17,0x8d66,10.102.1.1,10.102.1.2,140,0x00,,,,,,,,,,,,,,,,,,,,,,,,,,120,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
